query_id,prompt,query_text,execution_status,start_time,end_time,rows_produced,bytes_scanned,warehouse_name
QH001,"Show me all accounts with converted leads","SELECT ACCOUNTID, ACCOUNT_NAME, ACCOUNT_TO_LEAD_CONVERSION FROM BT_DEV.PCHOPRA.OBT_SALESFORCE WHERE ACCOUNT_TO_LEAD_CONVERSION = TRUE","SUCCESS",2024-11-01 09:12:00,2024-11-01 09:12:04,56741,204800000,DATA_GENIE_WH
QH002,"Count accounts by industry","SELECT INDUSTRY, COUNT(DISTINCT ACCOUNTID) AS ACCOUNT_COUNT FROM BT_DEV.PCHOPRA.OBT_SALESFORCE GROUP BY INDUSTRY ORDER BY ACCOUNT_COUNT DESC","SUCCESS",2024-11-01 10:05:00,2024-11-01 10:05:02,18,104857600,DATA_GENIE_WH
QH003,"Get all opportunities","SELECT * FROM OPPORTUNITIES","FAILED",2024-11-02 11:30:00,2024-11-02 11:30:01,0,0,DATA_GENIE_WH
QH004,"Active contracts with ARR greater than 100k","SELECT CONTRACT_NAME, CONTRACT_STATUS, TOTAL_CONTRACT_VALUE FROM BT_DEV.PCHOPRA.OBT_SALESFORCE WHERE CONTRACT_STATUS = 'Activated' AND TOTAL_CONTRACT_VALUE > 100000","SUCCESS",2024-11-03 14:22:00,2024-11-03 14:22:03,8,52428800,DATA_GENIE_WH
QH005,"Join accounts to opportunities","SELECT a.ACCOUNTID, a.ACCOUNT_NAME, o.OPPORTUNITY_NAME, o.ARR FROM BT_DEV.PCHOPRA.OBT_SALESFORCE a JOIN BT_DEV.PCHOPRA.OBT_OPPORTUNITIES o ON a.ACCOUNTID = o.ACCOUNTID WHERE o.IS_WON = TRUE","FAILED",2024-11-04 09:00:00,2024-11-04 09:00:01,0,0,DATA_GENIE_WH
QH006,"Monthly ARR trend for 2024","SELECT DATE_TRUNC('month', CLOSE_DATE) AS ARR_MONTH, SUM(ARR) AS TOTAL_ARR FROM BT_DEV.PCHOPRA.OBT_SALESFORCE WHERE CLOSE_DATE BETWEEN '2024-01-01' AND '2024-12-31' AND IS_WON = TRUE GROUP BY 1 ORDER BY 1","SUCCESS",2024-11-05 10:10:00,2024-11-05 10:10:05,12,314572800,DATA_GENIE_WH
QH007,"Accounts with both leads and open opps","SELECT COUNT(DISTINCT ACCOUNTID) FROM OBT_SALESFORCE WHERE LEADID IS NOT NULL","SUCCESS",2024-11-06 13:45:00,2024-11-06 13:45:02,1,157286400,DATA_GENIE_WH
QH008,"Top 10 accounts by total contract value","SELECT ACCOUNTID, ACCOUNT_NAME, SUM(TOTAL_CONTRACT_VALUE) AS TOTAL_TCV FROM BT_DEV.PCHOPRA.OBT_SALESFORCE WHERE CONTRACT_STATUS IN ('Activated','Signed') GROUP BY 1,2 ORDER BY TOTAL_TCV DESC LIMIT 10","SUCCESS",2024-11-07 15:00:00,2024-11-07 15:00:03,10,419430400,DATA_GENIE_WH
QH009,"Platform usage by workspace","SELECT WORKSPACE_ID, SUM(RECIPE_RUNS) AS TOTAL_RUNS FROM DATA_GENIE.WORKATO_USAGE.AGGREGATED_RECIPES_OVER_TIME_COMB WHERE SNAPSHOT_DATE >= '2024-10-01' GROUP BY WORKSPACE_ID","SUCCESS",2024-11-08 09:30:00,2024-11-08 09:30:04,8,83886080,DATA_GENIE_WH
QH010,"Cross join test - bad query","SELECT * FROM BT_DEV.PCHOPRA.OBT_SALESFORCE CROSS JOIN DATA_GENIE.WORKATO_USAGE.AGGREGATED_RECIPES_OVER_TIME_COMB","SUCCESS",2024-11-09 11:00:00,2024-11-09 11:00:30,99999999,10737418240,DATA_GENIE_WH
QH011,"Leads converted in Q4 2024","SELECT LEADID, ACCOUNT_NAME, CONVERTED_DATE FROM BT_DEV.PCHOPRA.OBT_SALESFORCE WHERE ACCOUNT_TO_LEAD_CONVERSION = TRUE AND CONVERTED_DATE >= '2024-10-01' AND CONVERTED_DATE < '2025-01-01'","SUCCESS",2024-11-10 14:00:00,2024-11-10 14:00:02,3421,94371840,DATA_GENIE_WH
QH012,"Opportunity pipeline by stage","SELECT STAGE_NAME, COUNT(DISTINCT CONVERTEDOPPORTUNITYID) AS OPP_COUNT, SUM(ARR) AS PIPELINE_ARR FROM BT_DEV.PCHOPRA.OBT_SALESFORCE WHERE IS_WON = FALSE AND IS_CLOSED = FALSE GROUP BY STAGE_NAME","SUCCESS",2024-11-11 10:15:00,2024-11-11 10:15:03,7,209715200,DATA_GENIE_WH
